dataset,n,m,alpha,avg_best_of,dev_vs_best_alpha_%,num_instances,iters,fls_max_iter
Geo,100,10,0.1,131.81771943032948,0.12801963560912266,10,100,200
Geo,100,10,0.2,131.9866883077536,0.0,10,100,200
Geo,100,10,0.3,131.9866883077536,0.0,10,100,200
Geo,100,10,0.4,131.9866883077536,0.0,10,100,200
Geo,100,10,0.5,131.9866883077536,0.0,10,100,200
Geo,100,10,0.6,131.9866883077536,0.0,10,100,200
Geo,100,10,0.7,131.9866883077536,0.0,10,100,200
Geo,100,10,0.8,131.9866883077536,0.0,10,100,200
Geo,100,10,0.9,131.9866883077536,0.0,10,100,200
Geo,100,30,0.1,99.57949749946252,0.12664256443828592,10,100,200
Geo,100,30,0.2,99.59240801984167,0.11369394500472212,10,100,200
Geo,100,30,0.3,99.59481335344826,0.11128151323839461,10,100,200
Geo,100,30,0.4,99.62403121186335,0.08197743267695044,10,100,200
Geo,100,30,0.5,99.53711933346138,0.16914578876434314,10,100,200
Geo,100,30,0.6,99.59481335344826,0.11128151323839461,10,100,200
Geo,100,30,0.7,99.69877696623948,0.007011102949913443,10,100,200
Geo,100,30,0.8,99.70576744024171,0.0,10,100,200
Geo,100,30,0.9,99.67654958182662,0.02930408056144418,10,100,200
Geo,250,25,0.1,135.54990648141913,0.0,10,100,200
Geo,250,25,0.2,135.4412778540654,0.08013921231928611,10,100,200
Geo,250,25,0.3,135.47762345097286,0.05332576932185506,10,100,200
Geo,250,25,0.4,135.4789221741609,0.052367654910883285,10,100,200
Geo,250,25,0.5,135.4792727613719,0.05210901422267565,10,100,200
Geo,250,25,0.6,135.49825372399226,0.03810608119744109,10,100,200
Geo,250,25,0.7,135.52799285189724,0.016166465983430328,10,100,200
Geo,250,25,0.8,135.51137930475218,0.02842287218562366,10,100,200
Geo,250,25,0.9,135.48270484384977,0.04957704458362451,10,100,200
Geo,250,75,0.1,107.86610910632002,0.07773406482704913,10,100,200
Geo,250,75,0.2,107.92241345758967,0.025576270247405292,10,100,200
Geo,250,75,0.3,107.95002304721636,0.0,10,100,200
Geo,250,75,0.4,107.91656449761209,0.030994481205105284,10,100,200
Geo,250,75,0.5,107.70648364347767,0.22560384598729755,10,100,200
Geo,250,75,0.6,106.84804957426527,1.0208181914598518,10,100,200
Geo,250,75,0.7,106.58603103042098,1.2635402738161354,10,100,200
Geo,250,75,0.8,105.9590708448568,1.8443277232916766,10,100,200
Geo,250,75,0.9,105.04614872272266,2.6900173270213856,10,100,200
Ran,100,10,0.1,73.4,0.6765899864682002,10,100,200
Ran,100,10,0.2,73.5,0.5412719891745679,10,100,200
Ran,100,10,0.3,73.4,0.6765899864682002,10,100,200
Ran,100,10,0.4,73.5,0.5412719891745679,10,100,200
Ran,100,10,0.5,73.5,0.5412719891745679,10,100,200
Ran,100,10,0.6,73.9,0.0,10,100,200
Ran,100,10,0.7,73.7,0.27063599458728393,10,100,200
Ran,100,10,0.8,73.9,0.0,10,100,200
Ran,100,10,0.9,73.5,0.5412719891745679,10,100,200
Ran,100,30,0.1,54.7,0.18248175182480716,10,100,200
Ran,100,30,0.2,54.6,0.36496350364962726,10,100,200
Ran,100,30,0.3,54.7,0.18248175182480716,10,100,200
Ran,100,30,0.4,54.6,0.36496350364962726,10,100,200
Ran,100,30,0.5,54.7,0.18248175182480716,10,100,200
Ran,100,30,0.6,54.7,0.18248175182480716,10,100,200
Ran,100,30,0.7,54.8,0.0,10,100,200
Ran,100,30,0.8,54.7,0.18248175182480716,10,100,200
Ran,100,30,0.9,54.7,0.18248175182480716,10,100,200
Ran,250,25,0.1,59.7,0.6655574043261208,10,100,200
Ran,250,25,0.2,59.9,0.33277870216306626,10,100,200
Ran,250,25,0.3,59.9,0.33277870216306626,10,100,200
Ran,250,25,0.4,60.0,0.16638935108153313,10,100,200
Ran,250,25,0.5,60.0,0.16638935108153313,10,100,200
Ran,250,25,0.6,60.1,0.0,10,100,200
Ran,250,25,0.7,60.0,0.16638935108153313,10,100,200
Ran,250,25,0.8,60.0,0.16638935108153313,10,100,200
Ran,250,25,0.9,59.7,0.6655574043261208,10,100,200
Ran,250,75,0.1,51.2,0.7751937984496097,10,100,200
Ran,250,75,0.2,51.3,0.5813953488372176,10,100,200
Ran,250,75,0.3,51.4,0.3875968992248117,10,100,200
Ran,250,75,0.4,51.3,0.5813953488372176,10,100,200
Ran,250,75,0.5,51.2,0.7751937984496097,10,100,200
Ran,250,75,0.6,51.3,0.5813953488372176,10,100,200
Ran,250,75,0.7,51.3,0.5813953488372176,10,100,200
Ran,250,75,0.8,51.2,0.7751937984496097,10,100,200
Ran,250,75,0.9,51.6,0.0,10,100,200
