dataset,n,m,alpha,time_limit_s,runs,es_size,time_doing_grasp,Dev_avg,#Best,num_instances
Geo,100,10,0.1,15,3,5,0.6,0.0,10,10
Geo,100,10,0.1,15,3,10,0.6,0.0,10,10
Geo,100,10,0.1,15,3,15,0.6,0.0,10,10
Geo,100,30,0.1,15,3,5,0.6,0.0,10,10
Geo,100,30,0.1,15,3,10,0.6,0.000812077044560394,9,10
Geo,100,30,0.1,15,3,15,0.6,0.0,10,10
Geo,250,25,0.1,15,3,5,0.6,0.00039711249366311573,8,10
Geo,250,25,0.1,15,3,10,0.6,0.0007851919872553867,8,10
Geo,250,25,0.1,15,3,15,0.6,0.0007335806051112723,7,10
Geo,250,75,0.1,15,3,5,0.6,0.000381106890755319,9,10
Geo,250,75,0.1,15,3,10,0.6,0.002116218331648257,4,10
Geo,250,75,0.1,15,3,15,0.6,0.004341762933759749,1,10
Geo,500,50,0.1,15,3,5,0.6,0.00221986234348237,6,10
Geo,500,50,0.1,15,3,10,0.6,0.004584109119329126,4,10
Geo,500,50,0.1,15,3,15,0.6,0.006315613228451698,1,10
Geo,500,150,0.1,15,3,5,0.6,0.0013059275748060636,5,10
Geo,500,150,0.1,15,3,10,0.6,0.001918769612774694,3,10
Geo,500,150,0.1,15,3,15,0.6,0.0017632864184672,7,10
Ran,100,10,0.1,15,3,5,0.6,0.0,10,10
Ran,100,10,0.1,15,3,10,0.6,0.0,10,10
Ran,100,10,0.1,15,3,15,0.6,0.0,10,10
Ran,100,30,0.1,15,3,5,0.6,0.0,10,10
Ran,100,30,0.1,15,3,10,0.6,0.0,10,10
Ran,100,30,0.1,15,3,15,0.6,0.0,10,10
Ran,250,25,0.1,15,3,5,0.6,0.006557377049180328,6,10
Ran,250,25,0.1,15,3,10,0.6,0.001639344262295082,9,10
Ran,250,25,0.1,15,3,15,0.6,0.001639344262295082,9,10
Ran,250,75,0.1,15,3,5,0.6,0.0057692307692307696,7,10
Ran,250,75,0.1,15,3,10,0.6,0.0,10,10
Ran,250,75,0.1,15,3,15,0.6,0.0057692307692307696,7,10
Ran,500,50,0.1,15,3,5,0.6,0.00909090909090909,5,10
Ran,500,50,0.1,15,3,10,0.6,0.005454545454545454,7,10
Ran,500,50,0.1,15,3,15,0.6,0.0036363636363636364,8,10
Ran,500,150,0.1,15,3,5,0.6,0.0,10,10
Ran,500,150,0.1,15,3,10,0.6,0.0,10,10
Ran,500,150,0.1,15,3,15,0.6,0.0,10,10
