algo,param_name,param_value,instances,avg_mean,avg_median,avg_best,avg_stdev,#best_instances_by_mean,#best_instances_by_best
GRC,alpha,0.1,135,81.72675100743662,81.80971020269206,84.78250782137088,1.6741964515635341,117,126
GRC,alpha,0.2,135,79.95206137892231,79.9902494299625,83.51198155030374,2.0182001484307266,28,61
GRC,alpha,0.3,135,77.92565254224776,77.82687963717714,82.16197324583815,2.263484482834677,19,35
GRC,alpha,0.4,135,75.42091817709975,75.24411158900458,80.33056499768644,2.4276248046598696,12,32
GRC,alpha,0.5,135,72.3013163303153,72.20880368946352,77.12194955086032,2.51842207336641,10,23
GRC,alpha,0.6,135,69.3483552099488,69.2022992951213,74.11997641743208,2.567837889851622,10,20
GRC,alpha,0.7,135,66.39751193229957,66.2886464074413,71.66009489811567,2.7037389361257747,10,19
GRC,alpha,0.8,135,63.610280474553576,63.563551823462966,69.30538343083155,2.959986197188068,10,16
GRC,alpha,0.9,135,61.38701354323056,61.42969914579157,67.4268976829134,3.199308551919477,10,14
GRC,alpha,1.0,135,58.01205189830732,58.292771706027615,65.65547679111152,4.40449628133772,0,1
GRC2,beta,0.1,135,76.61741919295004,76.63069852244492,81.46567141862576,2.67716699454319,0,14
GRC2,beta,0.2,135,79.4191073643472,79.376976200739,83.36434351616138,2.1144059941424294,2,22
GRC2,beta,0.3,135,80.64143185395788,80.59998642601819,84.06007248486053,1.923831886548148,8,34
GRC2,beta,0.4,135,81.32013727403353,81.30908812366721,84.2518648001099,1.703988234731304,12,40
GRC2,beta,0.5,135,81.78615082223881,81.7776656821728,85.00576422065103,1.7018864835268654,14,60
GRC2,beta,0.6,135,82.25587774895219,82.31492355949486,85.00164432620078,1.590025068360243,15,57
GRC2,beta,0.7,135,82.5771589337853,82.62562294770825,85.27750232503844,1.5250226444555859,25,67
GRC2,beta,0.8,135,82.74323689409076,82.80737121080585,85.3025278797437,1.4722571972714542,33,72
GRC2,beta,0.9,135,82.88368288406313,83.01377400496476,85.35092346361428,1.4198241739670128,51,79
GRC2,beta,1.0,135,82.92549596395442,83.09504482939619,85.38388335888027,1.4060171879252301,69,86
