dataset,n,m,method,Dev_avg,#Best,num_instances,reps,time_limit_used,alpha,es_size,time_doing_grasp
Geo,100,10,GRASP,0.0,10,10,3,15.0,0.1,,
Geo,100,10,GRASP_PR,0.0,10,10,3,15.0,0.1,10,0.6
Geo,100,30,GRASP,0.0,10,10,3,15.0,0.1,,
Geo,100,30,GRASP_PR,0.0,10,10,3,15.0,0.1,10,0.6
Geo,250,25,GRASP,0.00034844534207498516,8,10,3,15.0,0.1,,
Geo,250,25,GRASP_PR,0.0,10,10,3,15.0,0.1,10,0.6
Geo,250,75,GRASP,0.0027861768124222627,3,10,3,15.0,0.1,,
Geo,250,75,GRASP_PR,0.0005047108753312821,8,10,3,15.0,0.1,10,0.6
Geo,500,50,GRASP,0.007943305894905531,1,10,3,30.0,0.1,,
Geo,500,50,GRASP_PR,0.0006112007316937061,9,10,3,30.0,0.1,10,0.6
Geo,500,150,GRASP,0.01149879591418916,0,10,3,30.0,0.1,,
Geo,500,150,GRASP_PR,0.0,10,10,3,30.0,0.1,10,0.6
Ran,100,10,GRASP,0.0,10,10,3,15.0,0.1,,
Ran,100,10,GRASP_PR,0.0,10,10,3,15.0,0.1,10,0.6
Ran,100,30,GRASP,0.0,10,10,3,15.0,0.1,,
Ran,100,30,GRASP_PR,0.0,10,10,3,15.0,0.1,10,0.6
Ran,250,25,GRASP,0.001639344262295082,9,10,3,15.0,0.1,,
Ran,250,25,GRASP_PR,0.0049180327868852455,7,10,3,15.0,0.1,10,0.6
Ran,250,75,GRASP,0.0019230769230769232,9,10,3,15.0,0.1,,
Ran,250,75,GRASP_PR,0.0038461538461538464,8,10,3,15.0,0.1,10,0.6
Ran,500,50,GRASP,0.0036363636363636364,8,10,3,30.0,0.1,,
Ran,500,50,GRASP_PR,0.0036363636363636364,8,10,3,30.0,0.1,10,0.6
Ran,500,150,GRASP,0.0,10,10,3,30.0,0.1,,
Ran,500,150,GRASP_PR,0.0,10,10,3,30.0,0.1,10,0.6
